Game ID,date,season,neutral,is_home,playoff,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,is_win,gm_no
192011250RCH,1920-11-25,1920,0,0,NA,ATN,RCH,14,3,1328.34,1484.651,0.218578663,0.781421337,1371.519,1441.473,1,3
192011280ARI,1920-11-28,1920,0,1,NA,ARI,CHI,7,6,1532.273,1542.54,0.578121934,0.421878066,1537.98,1536.833,1,8
192011280ARI,1920-11-28,1920,0,0,NA,CHI,ARI,6,7,1542.54,1532.273,0.421878066,0.578121934,1536.833,1537.98,0,11
192011280BFF,1920-11-28,1920,0,1,NA,BFF,CTI,7,0,1549.69,1443.913,0.727717231,0.272282769,1560.198,1433.405,1,9
192011280BFF,1920-11-28,1920,0,0,NA,CTI,BFF,0,7,1443.913,1549.69,0.272282769,0.727717231,1433.405,1560.198,0,8
192011280CHT,1920-11-28,1920,0,1,NA,CHT,THO,27,0,1287.638,1307.111,0.56514617599999994,0.434853824,1316.031,1278.718,1,8
192011280CHT,1920-11-28,1920,0,0,NA,THO,CHT,0,27,1307.111,1287.638,0.434853824,0.56514617599999994,1278.718,1316.031,0,2
192011280DAY,1920-11-28,1920,0,1,NA,DAY,AKR,0,14,1571.78,1617.382,0.527886996,0.472113004,1542.935,1646.228,0,9
192011280DAY,1920-11-28,1920,0,0,NA,AKR,DAY,14,0,1617.382,1571.78,0.472113004,0.527886996,1646.228,1542.935,1,9
192011280DHR,1920-11-28,1920,0,1,NA,DHR,LAN,0,0,1439.909,1292.402,0.772641769,0.227358231,1431.594,1300.717,0.5,7
192011280DHR,1920-11-28,1920,0,0,NA,LAN,DHR,0,0,1292.402,1439.909,0.227358231,0.772641769,1300.717,1431.594,0.5,2
192011280RII,1920-11-28,1920,0,1,NA,RII,WJA,48,7,1496.08,1300,0.818006199,0.181993801,1508.242,1287.839,1,10
192011280RII,1920-11-28,1920,0,0,NA,WJA,RII,7,48,1300,1496.08,0.181993801,0.818006199,1287.839,1508.242,0,1
192011280ROS,1920-11-28,1920,0,1,NA,ROS,RCH,6,7,1289.71,1441.473,0.377670405,0.622329595,1284.673,1446.51,0,2
192011280ROS,1920-11-28,1920,0,0,NA,RCH,ROS,7,6,1441.473,1289.71,0.622329595,0.377670405,1446.51,1284.673,1,10
192012040BFF,1920-12-04,1920,0,1,NA,BFF,CBD,7,3,1560.198,1556.623,0.597425504,0.402574496,1572.764,1544.056,1,10
192012040BFF,1920-12-04,1920,0,0,NA,CBD,BFF,3,7,1556.623,1560.198,0.402574496,0.597425504,1544.056,1572.764,0,10
192012050ARI,1920-12-05,1920,0,1,NA,ARI,CHI,0,10,1537.98,1536.833,0.594059465,0.405940535,1508.607,1566.206,0,9
192012050ARI,1920-12-05,1920,0,0,NA,CHI,ARI,10,0,1536.833,1537.98,0.405940535,0.594059465,1566.206,1508.607,1,12
